#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -15.7174  -14.9263  -14.8592  -14.8587  -14.7078  -14.7078   -5.2417   -4.7220   -4.3579   -4.3538   -4.1946   -4.1868   -4.0543   -3.6805   -3.6766   -3.1074   -2.9409   -2.9376   -2.4580   -2.2394   -2.0071   -2.0017   -1.8627   -1.8601    1.6218    1.6700    1.6702    1.7795    1.9088    1.9096    2.7583    2.7601    2.9112    2.9118    5.2811    5.8132    6.2508    6.9086    7.0653    7.2901    7.8545    8.3538    8.9695    8.9787    8.9974    9.1041    9.1138    9.1279    9.4245    9.5248    9.6046    9.7282    9.7376   10.2901   10.2931   10.4526   10.5168   10.8223   10.8298   11.1478   11.1500   11.1923   11.1928   11.4954
  0.0310  -15.7161  -14.9258  -14.8605  -14.8593  -14.7080  -14.7080   -5.2414   -4.7215   -4.3564   -4.3521   -4.2010   -4.1895   -4.0456   -3.6814   -3.6780   -3.1027   -2.9397   -2.9365   -2.4574   -2.2404   -2.0082   -2.0007   -1.8686   -1.8632    1.6170    1.6711    1.6763    1.7784    1.9084    1.9102    2.7583    2.7602    2.9088    2.9112    5.2871    5.8171    6.2548    6.9155    7.0705    7.2960    7.8529    8.3572    8.9182    8.9344    8.9995    9.0808    9.1126    9.1816    9.4171    9.5539    9.6369    9.7234    9.7315   10.2877   10.2962   10.4282   10.5214   10.8107   10.8181   11.1232   11.1269   11.1571   11.1726   11.3633
  0.0621  -15.7123  -14.9244  -14.8648  -14.8603  -14.7086  -14.7084   -5.2406   -4.7201   -4.3571   -4.3415   -4.2183   -4.1948   -4.0235   -3.6868   -3.6794   -3.0890   -2.9395   -2.9297   -2.4556   -2.2434   -2.0127   -1.9971   -1.8903   -1.8679    1.6070    1.6738    1.6904    1.7753    1.9070    1.9123    2.7584    2.7606    2.9013    2.9100    5.3049    5.8288    6.2669    6.9360    7.0860    7.3141    7.8479    8.3673    8.8214    8.8417    8.9901    9.0218    9.1217    9.2720    9.3943    9.6230    9.6680    9.7118    9.7621   10.2663   10.3055   10.3745   10.5346   10.7772   10.7854   10.9823   11.0474   11.0781   11.1404   11.2741
  0.0931  -15.7060  -14.9222  -14.8721  -14.8618  -14.7096  -14.7092   -5.2391   -4.7180   -4.3593   -4.3234   -4.2408   -4.2018   -3.9942   -3.6971   -3.6802   -3.0677   -2.9395   -2.9177   -2.4530   -2.2482   -2.0220   -1.9910   -1.9247   -1.8746    1.5961    1.6783    1.7060    1.7719    1.9046    1.9156    2.7586    2.7613    2.8894    2.9080    5.3344    5.8481    6.2870    6.9688    7.1119    7.3448    7.8390    8.3834    8.7202    8.7258    8.8977    9.0279    9.1344    9.3364    9.3746    9.6260    9.6980    9.7153    9.8705   10.1888   10.3178   10.3432   10.5553   10.7028   10.7194   10.8122   10.9348   10.9956   11.0823   11.2087
  0.1242  -15.6973  -14.9191  -14.8822  -14.8638  -14.7110  -14.7103   -5.2367   -4.7152   -4.3624   -4.2989   -4.2647   -4.2095   -3.9612   -3.7110   -3.6812   -3.0420   -2.9370   -2.9016   -2.4499   -2.2546   -2.0400   -1.9835   -1.9659   -1.8824    1.5858    1.6841    1.7171    1.7725    1.9014    1.9200    2.7588    2.7624    2.8739    2.9052    5.3749    5.8747    6.3151    7.0120    7.1479    7.3889    7.8252    8.4035    8.5992    8.6252    8.7878    9.0478    9.1430    9.2884    9.4327    9.5719    9.7043    9.7915    9.9943   10.0713   10.3272   10.3328   10.5074   10.5857   10.6213   10.7457   10.8284   10.9220   11.0073   11.1196
  0.1552  -15.6861  -14.9152  -14.8949  -14.8662  -14.7128  -14.7119   -5.2331   -4.7121   -4.3659   -4.2881   -4.2694   -4.2165   -3.9270   -3.7272   -3.6825   -3.0187   -2.9268   -2.8822   -2.4468   -2.2629   -2.0785   -2.0008   -1.9754   -1.8901    1.5762    1.6909    1.7172    1.7829    1.8977    1.9251    2.7592    2.7639    2.8557    2.9016    5.4258    5.9081    6.3510    7.0634    7.1941    7.4472    7.8054    8.4181    8.4712    8.5458    8.6739    9.0738    9.1171    9.2462    9.4693    9.5067    9.7392    9.8478    9.9446   10.1056   10.2921   10.3201   10.3226   10.5257   10.6094   10.7153   10.7251   10.8749   10.9289   11.0429
  0.1862  -15.6727  -14.9108  -14.9102  -14.8689  -14.7149  -14.7139   -5.2283   -4.7087   -4.3700   -4.3100   -4.2376   -4.2197   -3.8943   -3.7430   -3.6841   -3.0065   -2.9015   -2.8603   -2.4438   -2.2737   -2.1419   -2.0220   -1.9677   -1.8961    1.5673    1.6982    1.7077    1.8013    1.8937    1.9310    2.7597    2.7658    2.8360    2.8972    5.4863    5.9481    6.3949    7.1209    7.2502    7.5197    7.7777    8.3437    8.3899    8.5216    8.5596    9.0312    9.1053    9.2463    9.4349    9.4803    9.7834    9.8297    9.8739   10.0830   10.1220   10.3066   10.3286   10.4934   10.6113   10.6226   10.7182   10.8474   10.8567   10.9617
  0.2173  -15.6570  -14.9280  -14.9056  -14.8715  -14.7172  -14.7164   -5.2222   -4.7053   -4.3746   -4.3295   -4.2268   -4.1959   -3.8695   -3.7522   -3.6858   -3.0062   -2.8618   -2.8372   -2.4412   -2.2878   -2.2203   -2.0374   -1.9600   -1.8993    1.5589    1.6932    1.7054    1.8227    1.8899    1.9372    2.7604    2.7681    2.8156    2.8921    5.5557    5.9942    6.4465    7.1828    7.3158    7.6057    7.7408    8.2188    8.3217    8.4466    8.5503    8.9182    9.1417    9.2576    9.3604    9.4720    9.6987    9.8270    9.8623    9.9188   10.0120   10.2834   10.4041   10.4684   10.5636   10.5848   10.7480   10.7972   10.8221   10.8739
  0.2483  -15.6393  -14.9479  -14.9004  -14.8738  -14.7198  -14.7194   -5.2149   -4.7016   -4.3809   -4.3449   -4.2243   -4.1582   -3.8638   -3.7431   -3.6874   -3.0132   -2.8141   -2.8138   -2.4395   -2.3090   -2.3037   -2.0511   -1.9516   -1.8998    1.5508    1.6760    1.7118    1.8447    1.8866    1.9436    2.7614    2.7709    2.7955    2.8862    5.6331    6.0462    6.5057    7.2484    7.3905    7.6937    7.7020    8.0987    8.2475    8.3363    8.5954    8.7993    9.1821    9.2587    9.2857    9.4322    9.5940    9.7225    9.7875    9.9071    9.9209   10.2543   10.3790   10.4621   10.5383   10.5842   10.7232   10.7778   10.7987   10.8273
  0.2794  -15.6196  -14.9698  -14.8959  -14.8748  -14.7231  -14.7223   -5.2067   -4.6977   -4.3901   -4.3544   -4.2177   -4.1196   -3.8785   -3.7144   -3.6885   -3.0250   -2.7915   -2.7627   -2.4399   -2.3989   -2.3252   -2.0639   -1.9412   -1.8987    1.5429    1.6573    1.7169    1.8663    1.8842    1.9501    2.7627    2.7725    2.7782    2.8798    5.7177    6.1038    6.5724    7.3173    7.4730    7.6381    7.7972    7.9925    8.1706    8.2302    8.6477    8.6867    9.2069    9.2306    9.2358    9.3182    9.5293    9.6485    9.6503    9.8458    9.9434   10.2212   10.2825   10.4652   10.4693   10.6006   10.6612   10.7297   10.7629   10.8098
